0.37181,0.19588,-0.0059402
0.36727,0.17025,-0.017168
0.36283,0.14689,-0.031251
0.35849,0.12561,-0.046991
0.35426,0.10622,-0.063832
0.35014,0.08859,-0.081389
0.34613,0.072589,-0.099516
0.34223,0.058106,-0.11802
0.33844,0.045042,-0.13687
0.33475,0.033309,-0.15592
0.33118,0.022828,-0.17517
0.39151,0.043026,-0.20498
0.45909,0.068064,-0.23674
0.53422,0.098091,-0.27024
0.61718,0.13323,-0.30543
0.70819,0.17356,-0.342
0.80742,0.21915,-0.3798
0.915,0.27001,-0.4184
1.031,0.32613,-0.45762
1.1554,0.38748,-0.49694
1.2882,0.45399,-0.53617
1.2157,0.43439,-0.42664
1.148,0.41386,-0.34794
1.0844,0.39259,-0.28501
1.0246,0.37076,-0.23228
0.96819,0.34857,-0.18711
0.91494,0.32616,-0.14821
0.86461,0.3037,-0.11464
0.81702,0.28132,-0.085861
0.77197,0.25914,-0.061333
0.72932,0.23728,-0.040712
0.78213,0.19448,-0.029069
0.83715,0.15443,-0.017955
0.89439,0.11694,-0.0075291
0.95386,0.081852,0.0021057
1.0156,0.04903,0.010936
1.0795,0.01835,0.018944
1.1456,-0.010297,0.026154
1.214,-0.037009,0.032576
1.2846,-0.061873,0.03824
1.3575,-0.084971,0.043163
1.3615,-0.071307,0.046365
1.3658,-0.056547,0.052345
1.3702,-0.040784,0.060975
1.3748,-0.024091,0.071474
1.3796,-0.0065397,0.083444
1.3846,0.011804,0.096598
1.3897,0.030877,0.11073
1.395,0.050625,0.12563
1.4005,0.070994,0.14115
1.4062,0.091939,0.1571
1.3339,0.13391,0.11988
1.2645,0.17649,0.096202
1.1978,0.21978,0.080364
1.1339,0.26382,0.070066
1.0726,0.3086,0.064283
1.0139,0.35411,0.062471
0.9578,0.40046,0.060699
0.90441,0.44775,0.055745
0.85366,0.49598,0.0478
0.80547,0.54514,0.037014
0.76736,0.47702,0.0262
0.73196,0.41694,0.017447
0.69901,0.36384,0.010221
0.66826,0.31679,0.0041715
0.63951,0.27503,-0.00090834
0.61257,0.23791,-0.0051653
0.58728,0.20487,-0.0086934
0.56349,0.17545,-0.011576
0.54107,0.14923,-0.013873
0.51992,0.12587,-0.015644
0.54227,0.10993,0.020801
0.56645,0.094854,0.038002
0.59205,0.080409,0.043291
0.61824,0.066031,0.049706
0.64469,0.051506,0.062135
0.67149,0.03691,0.079192
0.69869,0.022298,0.09997
0.72634,0.0077083,0.12383
0.75447,-0.006828,0.15028
0.78309,-0.021284,0.1789
0.82254,-0.033295,0.16587
0.8625,-0.045403,0.15876
0.90315,-0.057483,0.15507
0.9446,-0.069461,0.15339
0.98688,-0.081296,0.15293
1.03,-0.092963,0.15322
1.0741,-0.10445,0.15397
1.1191,-0.11574,0.15502
1.1649,-0.12684,0.15628
1.2117,-0.13774,0.1577
1.2032,-0.13313,0.18034
1.1951,-0.12754,0.19932
1.1872,-0.12101,0.21559
1.1796,-0.11354,0.22989
1.1721,-0.10517,0.24266
1.1647,-0.095891,0.25419
1.1575,-0.08569,0.26462
1.1505,-0.074561,0.27404
1.1436,-0.06249,0.28247
1.1369,-0.049464,0.28996
1.1211,-0.068382,0.33301
1.1054,-0.085426,0.37326
1.0898,-0.10082,0.41167
1.0744,-0.11473,0.44886
1.0589,-0.12732,0.48507
1.0435,-0.13869,0.52041
1.0282,-0.14896,0.55486
1.0129,-0.1582,0.58836
0.99777,-0.1665,0.62083
0.98271,-0.17392,0.65227
1.0216,-0.16101,0.4614
1.0538,-0.15452,0.34451
1.0824,-0.15152,0.26598
1.109,-0.15072,0.21043
1.1342,-0.15148,0.1702
1.1584,-0.15343,0.14107
1.1818,-0.15634,0.12048
1.2047,-0.16004,0.10668
1.2272,-0.16441,0.098405
1.2493,-0.16934,0.094643
1.2736,-0.15976,0.099279
1.2988,-0.1458,0.10373
1.3251,-0.12744,0.1077
1.3525,-0.10475,0.1114
1.3808,-0.077758,0.11511
1.4101,-0.046516,0.11899
1.4403,-0.01105,0.12317
1.4715,0.028616,0.12768
1.5037,0.072463,0.13258
1.5369,0.12048,0.13787
1.534,0.16519,0.13731
1.5304,0.21153,0.13952
