0.14631,0.053567,-0.0067006
0.14931,0.052949,-0.0094219
0.15235,0.052383,-0.012068
0.15543,0.051868,-0.014534
0.15855,0.051402,-0.016796
0.16172,0.050985,-0.018803
0.16493,0.050618,-0.020568
0.16818,0.0503,-0.022063
0.17147,0.050033,-0.023319
0.17481,0.049816,-0.024318
0.17818,0.049651,-0.025098
0.21061,0.051573,-0.028796
0.24644,0.053519,-0.032651
0.28577,0.055481,-0.036604
0.3287,0.057451,-0.040661
0.37534,0.059418,-0.044754
0.42576,0.061372,-0.048883
0.48005,0.063298,-0.052969
0.53825,0.065183,-0.057006
0.60041,0.067011,-0.060904
0.66659,0.068766,-0.06465
0.61068,0.076131,-0.067867
0.55796,0.082982,-0.074323
0.50829,0.089346,-0.083134
0.46158,0.09525,-0.093906
0.41771,0.10072,-0.10635
0.37658,0.10578,-0.12038
0.33812,0.11045,-0.13586
0.30225,0.11476,-0.15281
0.2689,0.11873,-0.17114
0.23799,0.12238,-0.19089
0.26699,0.11853,-0.17505
0.29786,0.1145,-0.15947
0.33063,0.1103,-0.14414
0.36531,0.10593,-0.12919
0.40191,0.10137,-0.1146
0.44046,0.096636,-0.10046
0.48096,0.091722,-0.086734
0.52344,0.086629,-0.073486
0.56789,0.081359,-0.060695
0.61433,0.075915,-0.048396
0.62288,0.072461,-0.020855
0.63177,0.068865,-0.00077309
0.64096,0.065135,0.013436
0.65043,0.061286,0.022717
0.66019,0.057336,0.027692
0.67017,0.053277,0.029722
0.68016,0.048981,0.034459
0.69012,0.04444,0.042593
0.70003,0.039664,0.053944
0.7099,0.034664,0.068345
0.66847,0.055544,0.050714
0.62858,0.076866,0.039674
0.59023,0.098649,0.033706
0.55338,0.1209,0.031897
0.51825,0.14377,0.029115
0.48492,0.16734,0.022899
0.45336,0.19161,0.01342
0.42354,0.21658,0.00078555
0.39545,0.24226,-0.014918
0.36907,0.26866,-0.033635
0.3688,0.24322,-0.036188
0.36896,0.21971,-0.037368
0.36955,0.19794,-0.037514
0.37054,0.17777,-0.036882
0.37192,0.15905,-0.035635
0.37367,0.14166,-0.03391
0.37576,0.12548,-0.031791
0.37819,0.11042,-0.029357
0.38094,0.096389,-0.026658
0.384,0.083298,-0.023745
0.35977,0.087537,-0.0057421
0.3367,0.091848,0.0055983
0.31462,0.096135,0.012833
0.29345,0.10035,0.017419
0.27314,0.10445,0.020234
0.25366,0.10843,0.021827
0.23498,0.11228,0.022558
0.21711,0.11598,0.02267
0.20002,0.11954,0.022336
0.18372,0.12295,0.021679
0.20821,0.099055,0.022628
0.23488,0.076459,0.023814
0.26374,0.055157,0.02528
0.29481,0.035143,0.027051
0.32812,0.016409,0.02914
0.36368,-0.0010512,0.031558
0.40151,-0.017246,0.034311
0.44163,-0.032184,0.037407
0.48407,-0.045875,0.040853
0.52884,-0.058327,0.044657
0.50506,-0.052626,0.043841
0.48175,-0.046621,0.044325
0.45892,-0.040296,0.045909
0.43659,-0.033631,0.048333
0.4148,-0.026612,0.051435
0.39355,-0.019227,0.05511
0.37285,-0.011469,0.05928
0.35272,-0.0033298,0.063892
0.33317,0.0051963,0.068897
0.3142,0.014115,0.074265
0.34068,0.0013112,0.10334
0.36806,-0.01188,0.13794
0.39639,-0.025425,0.17752
0.42571,-0.039296,0.22171
0.45605,-0.053466,0.27013
0.48746,-0.067915,0.32252
0.51995,-0.082623,0.37859
0.55355,-0.097576,0.43814
0.58828,-0.11276,0.50089
0.62417,-0.12816,0.56665
0.64237,-0.11269,0.43207
0.65623,-0.099684,0.33801
0.66747,-0.087935,0.26852
0.67697,-0.076859,0.21561
0.68518,-0.066148,0.17479
0.69241,-0.055634,0.14342
0.69881,-0.045219,0.11979
0.70453,-0.034845,0.10279
0.70963,-0.024478,0.091558
0.71418,-0.014091,0.085476
0.69481,-0.012393,0.087293
0.67582,-0.01082,0.088953
0.65724,-0.0093468,0.090282
0.63904,-0.0079673,0.091302
0.62121,-0.0066824,0.092104
0.60374,-0.0054925,0.092786
0.58659,-0.0043984,0.093411
0.56977,-0.0033994,0.094027
0.55326,-0.0024938,0.094665
0.53705,-0.0016793,0.095348
0.54461,0.017413,0.086418
0.55204,0.038015,0.080691
0.55942,0.060169,0.077554
0.5668,0.083899,0.07661
0.57424,0.10921,0.077605
0.58174,0.13612,0.080344
0.58953,0.16479,0.083058
0.59772,0.19534,0.084617
0.60631,0.22774,0.085093
0.61528,0.26198,0.084533
0.65025,0.2645,0.093884
0.68655,0.26717,0.10079
0.72409,0.26989,0.10612
0.76281,0.27261,0.11031
0.80265,0.27525,0.11403
0.84353,0.2777,0.11824
0.88546,0.27996,0.12289
0.92846,0.28203,0.12788
0.97256,0.2839,0.13318
1.0178,0.28558,0.1387
0.94059,0.3234,0.13958
0.86843,0.3612,0.14221
0.801,0.39903,0.1465
0.73807,0.43693,0.15234
0.6794,0.47493,0.15965
0.62481,0.51306,0.16835
0.57413,0.55135,0.17838
0.5272,0.58983,0.18965
0.48388,0.62851,0.20211
0.44407,0.66744,0.21567
0.43406,0.58655,0.14119
0.42371,0.51115,0.097534
0.41369,0.44129,0.07414
0.4045,0.37705,0.06223
0.39727,0.3197,0.042132
0.39184,0.26875,0.01267
0.38794,0.22359,-0.025143
0.38531,0.18371,-0.070631
0.38375,0.14868,-0.12323
0.38306,0.11815,-0.18257
0.39317,0.14491,-0.17107
0.40396,0.1742,-0.16203
0.41539,0.2059,-0.15457
0.42743,0.23994,-0.14821
0.44005,0.27625,-0.14251
0.45323,0.31475,-0.13728
0.46695,0.35538,-0.13227
0.48119,0.3981,-0.12745
0.49591,0.44283,-0.12269
0.5111,0.48951,-0.11804
0.47673,0.47356,-0.080326
0.44407,0.45883,-0.052134
0.41299,0.44504,-0.030486
0.38339,0.43198,-0.013921
0.3552,0.41956,-0.0015558
0.32835,0.40767,0.007084
0.30279,0.39625,0.012355
0.27845,0.38523,0.014471
0.25529,0.37456,0.013635
0.23337,0.36402,0.013423
0.24704,0.3108,0.0069801
0.26302,0.26108,0.0014451
0.28129,0.21465,-0.0036288
0.30179,0.17133,-0.008564
0.32447,0.13095,-0.013553
0.34932,0.093375,-0.018613
0.37629,0.058496,-0.023774
0.40536,0.026219,-0.029085
